,date,decideCnt,deathCnt,careCnt,clearCnt,examCnt,resutlNegCnt,accDecideCnt,accDeathCnt,accClearCnt,accExamCnt,accExamCompCnt,accDefRate
0,2020-01-20,1,0,1,0,0,3,1,0,0,4,4,25.0
1,2020-01-21,0,0,1,0,0,14,1,0,0,15,15,6.666666667
2,2020-01-22,0,0,1,0,0,20,1,0,0,21,21,4.761904762
3,2020-01-23,0,0,1,0,0,24,1,0,0,25,25,4.0
4,2020-01-24,1,0,2,0,0,27,2,0,0,29,29,6.896551724
5,2020-01-25,0,0,2,0,0,45,2,0,0,47,47,4.255319149
6,2020-01-26,1,0,3,0,0,53,3,0,0,56,56,5.357142857
7,2020-01-27,1,0,4,0,0,80,4,0,0,84,84,4.761904762
8,2020-01-28,0,0,4,0,0,133,4,0,0,137,137,2.919708029
9,2020-01-29,0,0,4,0,0,204,4,0,0,208,208,1.923076923
10,2020-01-30,3,0,7,0,0,268,7,0,0,275,275,2.545454545
11,2020-01-31,4,0,11,0,0,324,11,0,0,335,335,3.28358209
12,2020-02-01,1,0,12,0,0,359,12,0,0,371,371,3.234501348
13,2020-02-02,3,0,15,0,0,414,15,0,0,429,429,3.496503497
14,2020-02-03,0,0,15,0,0,475,15,0,0,490,490,3.06122449
15,2020-02-04,1,0,16,0,0,591,16,0,0,607,607,2.635914333
16,2020-02-05,5,0,21,0,40,653,21,0,0,714,674,3.115727003
17,2020-02-06,3,0,24,0,169,692,24,0,0,885,716,3.351955307
18,2020-02-07,0,0,22,2,327,779,24,0,2,1130,803,2.98879203
19,2020-02-08,0,0,22,0,620,1057,24,0,2,1701,1081,2.220166512
20,2020-02-09,3,0,25,0,888,1425,27,0,2,2340,1452,1.859504132
21,2020-02-10,1,0,25,1,531,2217,28,0,3,2776,2245,1.247216036
22,2020-02-11,0,0,24,1,762,2839,28,0,4,3629,2867,0.976630624
23,2020-02-12,0,0,24,0,785,4261,28,0,4,5074,4289,0.652832828
24,2020-02-13,0,0,21,3,562,5207,28,0,7,5797,5235,0.534861509
25,2020-02-14,0,0,21,0,535,6291,28,0,7,6854,6319,0.443108087
26,2020-02-15,0,0,21,0,558,6933,28,0,7,7519,6961,0.402241057
27,2020-02-16,2,0,21,2,485,7404,30,0,9,7919,7434,0.403551251
28,2020-02-17,0,0,21,0,708,7433,30,0,9,8171,7463,0.401983117
29,2020-02-18,2,0,22,1,818,8415,32,0,10,9265,8447,0.378832722
30,2020-02-19,34,0,54,2,1149,9196,66,0,12,10411,9262,0.712589074
31,2020-02-20,16,1,65,4,1860,10219,82,1,16,12161,10301,0.796039219
32,2020-02-21,74,0,139,0,3180,11480,156,1,16,14816,11636,1.340666896
33,2020-02-22,190,2,326,1,6037,13238,346,3,17,19621,13584,2.547114252
34,2020-02-23,210,0,536,0,8057,14020,556,3,17,22633,14576,3.814489572
35,2020-02-24,207,4,739,0,11631,16221,763,7,17,28615,16984,4.492463495
36,2020-02-25,130,1,864,4,13880,21943,893,8,21,36716,22836,3.910492205
37,2020-02-26,253,3,1114,0,20716,24265,1146,11,21,46127,25411,4.509857936
38,2020-02-27,449,1,1560,2,25568,30827,1595,12,23,57990,32422,4.919499106
39,2020-02-28,427,1,1984,2,30237,38681,2022,13,25,70940,40703,4.967692799
40,2020-02-29,909,3,2889,1,35182,47580,2931,16,26,85693,50511,5.802696442
41,2020-03-01,595,1,3481,2,33360,60099,3526,17,28,96985,63625,5.541846758
42,2020-03-02,686,6,4159,2,33799,71580,4212,23,30,109591,75792,5.557314756
43,2020-03-03,600,5,4750,4,35555,85484,4812,28,34,125851,90296,5.329139718
44,2020-03-04,516,4,5256,6,28414,102965,5328,32,40,136707,108293,4.919985595
45,2020-03-05,438,3,5645,46,21810,118965,5766,35,86,146541,124731,4.622748154
46,2020-03-06,518,7,6136,20,21832,136624,6284,42,106,164740,142908,4.397234584
47,2020-03-07,483,2,6608,9,19620,151802,6767,44,115,178189,158569,4.267542836
48,2020-03-08,367,6,6958,11,19376,162008,7134,50,126,188518,169142,4.21775786
49,2020-03-09,248,1,7172,33,17458,171778,7382,51,159,196618,179160,4.120339361
50,2020-03-10,131,3,7227,73,18452,184179,7513,54,232,210144,191692,3.919308057
51,2020-03-11,242,6,7423,40,18540,196100,7755,60,272,222395,203855,3.804174536
52,2020-03-12,114,6,7485,46,17727,209402,7869,66,318,234998,217271,3.621744273
53,2020-03-13,110,1,7422,172,17940,222728,7979,67,490,248647,230707,3.458499309
54,2020-03-14,107,5,7324,200,17634,235615,8086,72,690,261335,243701,3.318000336
55,2020-03-15,76,3,7280,117,16272,243778,8162,75,807,268212,251940,3.239660237
56,2020-03-16,74,0,7055,299,14971,251297,8236,75,1106,274504,259533,3.173392208
57,2020-03-17,84,6,6877,256,17291,261105,8320,81,1362,286716,269425,3.088057901
58,2020-03-18,93,3,6831,136,16346,270888,8413,84,1498,295647,279301,3.012162506
